country,year,total,urban,rural,urban_water_improved,urban_water_piped,urban_water_otherimproved,urban_water_unimproved,rural_water_improved,rural_water_piped,rural_water_otherimproved,rural_water_unimproved,total_water_improved,total_water_piped,total_water_otherimproved,total_water_unimproved,urban_sanitation_improved,urban_sanitation_shared,urban_sanitation_opendefecation,urban_sanitation_otherunimproved,urban_sanitation_unimproved,rural_sanitation_improved,rural_sanitation_shared,rural_sanitation_opendefecation,rural_sanitation_otherunimproved,rural_sanitation_unimproved,total_sanitation_improved,total_sanitation_shared,total_sanitation_opendefecation,total_sanitation_otherunimproved,total_sanitation_unimproved
"Aruba","1990","63.23","31.82","31.41","32.00","32.00","0.00","0.00","31.00","31.00","0.00","0.00","63.00","63.00","0.00","0.00","","","","","","","","","","","","","","",""
"Aruba","1995","80.35","39.18","41.17","39.00","39.00","0.00","0.00","41.00","41.00","0.00","0.00","80.00","80.00","0.00","0.00","","","","","","","","","","","","","","",""
"Aruba","2000","90.66","42.34","48.32","42.00","42.00","0.00","0.00","48.00","48.00","0.00","0.00","90.00","90.00","0.00","0.00","","","","","","","","","","","","","","",""
"Aruba","2005","101.04","47.08","53.95","47.00","47.00","0.00","0.00","54.00","54.00","0.00","0.00","101.00","101.00","0.00","0.00","","","","","","","","","","","","","","",""
"Aruba","2008","105.46","49.26","56.20","49.00","49.00","0.00","0.00","56.00","56.00","0.00","0.00","105.00","105.00","0.00","0.00","","","","","","","","","","","","","","",""
"Afghanistan","1990","12580.41","2304.23","10276.18","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Afghanistan","1995","18083.75","3572.81","14510.94","429.00","214.00","215.00","3144.00","145.00","0.00","145.00","14366.00","574.00","214.00","360.00","17510.00","1286.21","","643.11","1643.49","2286.60","3917.95","","5804.38","4788.61","10592.99","5204.00","","6447.00","6432.00","12879.75"
"Afghanistan","2000","20535.81","4370.43","16165.38","1573.00","437.00","1136.00","2797.00","2748.00","0.00","2748.00","13417.00","4321.00","437.00","3884.00","16214.00","2010.40","","480.75","1879.28","2360.03","4526.31","","5172.92","6466.15","11639.07","6536.00","","5654.00","8345.00","13999.81"
"Afghanistan","2005","24506.84","5611.82","18895.02","3704.00","786.00","2918.00","1908.00","6235.00","0.00","6235.00","12660.00","9939.00","786.00","9153.00","14568.00","3142.62","","224.47","2244.73","2469.20","5479.56","","4534.80","8880.66","13415.46","8623.00","","4759.00","11126.00","15883.84"
"Afghanistan","2008","27208.33","6527.55","20680.78","5091.00","1044.00","4047.00","1437.00","8066.00","0.00","8066.00","12615.00","13157.00","1044.00","12113.00","14052.00","3916.53","","130.55","2480.47","2611.02","6204.23","","4136.16","10340.39","14476.55","10121.00","","4267.00","12820.00","17087.33"
"Angola","1990","10661.46","3960.09","6701.37","1188.00","40.00","1148.00","2772.00","2681.00","0.00","2681.00","4020.00","3869.00","40.00","3829.00","6792.00","2296.85","","1386.03","277.21","1663.24","402.08","","5160.05","1139.23","6299.29","2699.00","","6546.00","1416.00","7962.46"
"Angola","1995","12539.13","5515.71","7023.42","1765.00","55.00","1710.00","3751.00","2809.00","0.00","2809.00","4214.00","4574.00","55.00","4519.00","7965.00","3309.43","","1820.19","386.10","2206.28","491.64","","5267.56","1264.22","6531.78","3801.00","","7088.00","1650.00","8738.13"
"Angola","2000","14279.52","6995.11","7284.41","3008.00","839.00","2169.00","3987.00","2914.00","73.00","2841.00","4370.00","5922.00","912.00","5010.00","8357.00","4896.57","","1399.02","699.51","2098.54","801.29","","4880.56","1602.57","6483.12","5698.00","","6280.00","2303.00","8581.52"
"Angola","2005","16617.59","8966.19","7651.40","4842.00","2331.00","2511.00","4124.00","2984.00","77.00","2907.00","4667.00","7826.00","2408.00","5418.00","8791.00","7172.95","","717.29","1075.94","1793.24","1147.71","","4437.81","2065.88","6503.69","8321.00","","5155.00","3142.00","8296.59"
"Angola","2008","18020.67","10225.83","7794.84","6135.00","3477.00","2658.00","4091.00","2962.00","78.00","2884.00","4833.00","9097.00","3555.00","5542.00","8924.00","8794.21","","102.26","1329.36","1431.62","1403.07","","4131.26","2260.50","6391.77","10197.00","","4233.00","3590.00","7823.67"
"Anguilla","1990","8.40","8.40","0.00","","","","","","","","","","","","","8.32","","","0.08","0.08","","","","","","","","","",""
"Anguilla","1995","9.89","9.89","0.00","6.00","4.00","2.00","4.00","","","","","","","","","9.79","","","0.10","0.10","","","","","","","","","",""
"Anguilla","2000","11.16","11.16","0.00","7.00","5.00","2.00","4.00","","","","","","","","","11.05","","","0.11","0.11","","","","","","","","","",""
"Anguilla","2005","13.67","13.67","0.00","","","","","","","","","","","","","13.53","","","0.14","0.14","","","","","","","","","",""
"Anguilla","2008","14.83","14.83","0.00","","","","","","","","","","","","","14.68","","","0.15","0.15","","","","","","","","","",""
"Albania","1990","3289.48","1198.29","2091.19","1198.00","1174.00","24.00","0.00","","","","","","","","","","","","","","","","","","","","","","",""
"Albania","1995","3133.76","1219.38","1914.38","1219.00","1195.00","24.00","0.00","1800.00","632.00","1168.00","114.00","3019.00","1827.00","1192.00","114.00","1182.80","24.39","","12.19","36.58","1550.65","19.14","","344.59","363.73","2734.00","43.00","","357.00","399.76"
"Albania","2000","3067.56","1280.43","1787.13","1280.00","1242.00","38.00","0.00","1698.00","768.00","930.00","89.00","2978.00","2010.00","968.00","89.00","1242.02","25.61","","12.80","38.41","1519.06","17.87","","250.20","268.07","2761.00","44.00","","263.00","306.56"
"Albania","2005","3110.58","1393.85","1716.73","1366.00","1296.00","70.00","28.00","1665.00","1150.00","515.00","52.00","3031.00","2446.00","585.00","80.00","1352.03","27.88","","13.94","41.82","1648.06","17.17","","51.50","68.67","3000.00","45.00","","66.00","110.58"
"Albania","2008","3143.30","1467.79","1675.51","1409.00","1336.00","73.00","59.00","1642.00","1374.00","268.00","34.00","3051.00","2710.00","341.00","93.00","1438.44","29.36","","0.00","29.35","1641.99","16.76","","16.76","33.52","3080.00","46.00","","17.00","63.30"
"Andorra","1990","52.78","50.02","2.76","50.00","50.00","0.00","0.00","3.00","","3.00","0.00","53.00","","3.00","0.00","50.02","","0.00","0.00","0.00","2.76","","0.00","0.00","0.00","53.00","","0.00","0.00","-0.22"
"Andorra","1995","64.70","60.45","4.25","60.00","60.00","0.00","0.00","4.00","","4.00","0.00","64.00","","4.00","0.00","60.45","","0.00","0.00","0.00","4.25","","0.00","0.00","0.00","64.00","","0.00","0.00","0.70"
"Andorra","2000","66.42","61.34","5.08","61.00","61.00","0.00","0.00","5.00","","5.00","0.00","66.00","","5.00","0.00","61.34","","0.00","0.00","0.00","5.08","","0.00","0.00","0.00","66.00","","0.00","0.00","0.42"
"Andorra","2005","79.78","72.29","7.48","72.00","72.00","0.00","0.00","7.00","","7.00","0.00","79.00","","7.00","0.00","72.29","","0.00","0.00","0.00","7.48","","0.00","0.00","0.00","79.00","","0.00","0.00","0.78"
"Andorra","2008","84.41","76.19","8.22","76.00","76.00","0.00","0.00","8.00","","8.00","0.00","84.00","","8.00","0.00","76.19","","0.00","0.00","0.00","8.22","","0.00","0.00","0.00","84.00","","0.00","0.00","0.41"
"United Arab Emirates","1990","1867.08","1476.36","390.72","1476.00","","1476.00","0.00","391.00","","391.00","0.00","1867.00","","1867.00","0.00","1446.83","29.53","0.00","0.00","29.53","371.19","19.54","0.00","0.00","19.53","1818.00","50.00","0.00","0.00","49.08"
"United Arab Emirates","1995","2431.53","1905.50","526.04","1905.00","","1905.00","0.00","526.00","","526.00","0.00","2431.00","","2431.00","0.00","1867.39","38.11","0.00","0.00","38.11","499.74","26.30","0.00","0.00","26.30","2367.00","64.00","0.00","0.00","64.53"
"United Arab Emirates","2000","3238.05","2519.85","718.20","2520.00","2016.00","504.00","0.00","718.00","503.00","215.00","0.00","3238.00","2519.00","719.00","0.00","2469.46","50.40","0.00","0.00","50.39","682.29","35.91","0.00","0.00","35.91","3151.00","86.00","0.00","0.00","87.05"
"United Arab Emirates","2005","4089.03","3177.67","911.36","3178.00","2542.00","636.00","0.00","911.00","638.00","273.00","0.00","4089.00","3180.00","909.00","0.00","3114.12","63.55","0.00","0.00","63.55","865.79","45.57","0.00","0.00","45.57","3980.00","110.00","0.00","0.00","109.03"
"United Arab Emirates","2008","4484.93","3492.02","992.92","3492.00","2794.00","698.00","0.00","993.00","695.00","298.00","0.00","4485.00","3489.00","996.00","0.00","3422.17","69.84","0.00","0.00","69.85","943.27","49.65","0.00","0.00","49.65","4365.00","120.00","0.00","0.00","119.93"
"Argentina","1990","32497.51","28267.63","4229.88","27420.00","21483.00","5937.00","848.00","3046.00","931.00","2115.00","1184.00","30466.00","22414.00","8052.00","2032.00","26288.90","","","1978.73","1978.73","3087.81","","","1142.07","1142.07","29377.00","","","3121.00","3120.51"
"Argentina","1995","34771.69","30826.84","3944.85","30210.00","24045.00","6165.00","617.00","2959.00","1183.00","1776.00","986.00","33169.00","25228.00","7941.00","1603.00","28668.96","","","2157.88","2157.88","2958.64","","","986.21","986.21","31628.00","","","3144.00","3143.69"
"Argentina","2000","36938.73","33291.03","3647.70","32625.00","26966.00","5659.00","666.00","2845.00","1423.00","1422.00","803.00","35470.00","28389.00","7081.00","1469.00","30627.75","","","2663.28","2663.28","2808.73","","","838.97","838.97","33437.00","","","3502.00","3501.73"
"Argentina","2005","38731.60","35397.20","3334.40","34689.00","29380.00","5309.00","708.00","2668.00","1500.00","1168.00","666.00","37357.00","30880.00","6477.00","1374.00","32211.45","","","3185.75","3185.75","2567.49","","","766.91","766.91","34778.00","","","3953.00","3953.60"
"Argentina","2008","39882.98","36700.72","3182.26","35967.00","30462.00","5505.00","734.00","2546.00","1432.00","1114.00","636.00","38513.00","31894.00","6619.00","1370.00","33397.65","","","3303.06","3303.07","2450.34","","","731.92","731.92","35848.00","","","4035.00","4034.98"
"Armenia","1990","3544.70","2391.29","1153.41","2367.00","2296.00","71.00","24.00","","681.00","","","","2977.00","","","2271.72","95.65","0.00","23.91","119.57","","","0.00","","","","","0.00","",""
"Armenia","1995","3223.17","2136.67","1086.50","2115.00","2051.00","64.00","22.00","847.00","663.00","184.00","239.00","2962.00","2714.00","248.00","261.00","2029.84","85.47","0.00","21.37","106.83","814.87","32.59","0.00","239.03","271.63","2845.00","118.00","0.00","260.00","378.17"
"Armenia","2000","3075.81","2002.38","1073.43","1982.00","1922.00","60.00","20.00","891.00","687.00","204.00","182.00","2873.00","2609.00","264.00","202.00","1902.26","80.10","0.00","20.02","100.12","826.54","32.20","0.00","214.69","246.89","2729.00","112.00","0.00","235.00","346.81"
"Armenia","2005","3064.93","1963.58","1101.35","1944.00","1885.00","59.00","20.00","980.00","749.00","231.00","121.00","2924.00","2634.00","290.00","141.00","1865.40","78.54","0.00","19.64","98.18","870.07","33.04","0.00","198.24","231.28","2735.00","112.00","0.00","218.00","329.93"
"Armenia","2008","3077.08","1962.23","1114.86","1923.00","1903.00","20.00","39.00","1037.00","780.00","257.00","78.00","2960.00","2683.00","277.00","117.00","1864.12","78.49","0.00","19.62","98.11","891.88","33.45","0.00","189.53","222.98","2756.00","111.00","0.00","210.00","321.08"
"Antigua and Barbuda","1990","61.92","21.94","39.98","21.00","","21.00","1.00","","","","","","","","","21.50","","","0.44","0.44","","","","","","","","","",""
"Antigua and Barbuda","1995","68.16","24.58","43.58","23.00","18.00","5.00","2.00","39.00","36.00","3.00","5.00","62.00","54.00","8.00","7.00","24.09","","","0.49","0.49","40.97","","","2.61","2.61","65.00","","","3.00","3.16"
"Antigua and Barbuda","2000","77.13","28.76","48.38","27.00","21.00","6.00","2.00","43.00","40.00","3.00","5.00","70.00","61.00","9.00","7.00","28.18","","","0.58","0.58","45.48","","","2.90","2.90","73.00","","","4.00","4.13"
"Antigua and Barbuda","2005","83.53","32.67","50.86","31.00","24.00","7.00","2.00","","42.00","","","","66.00","","","32.02","","","0.65","0.65","","","","","","","","","",""
"Antigua and Barbuda","2008","86.63","37.52","49.12","36.00","","36.00","2.00","","","","","","","","","36.77","","","0.75","0.75","","","","","","","","","",""
"Australia","1990","17091.25","14595.93","2495.32","14596.00","","14596.00","0.00","2495.00","","2495.00","0.00","17091.00","","17091.00","0.00","14595.93","","0.00","0.00","0.00","2495.32","","0.00","0.00","0.00","17091.00","","0.00","0.00","0.25"
"Australia","1995","18118.21","15600.87","2517.34","15601.00","","15601.00","0.00","2517.00","","2517.00","0.00","18118.00","","18118.00","0.00","15600.87","","0.00","0.00","0.00","2517.34","","0.00","0.00","0.00","18118.00","","0.00","0.00","0.21"
"Australia","2000","19170.94","16710.35","2460.59","16710.00","","16710.00","0.00","2461.00","","2461.00","0.00","19171.00","","19171.00","0.00","16710.35","","0.00","0.00","0.00","2460.59","","0.00","0.00","0.00","19171.00","","0.00","0.00","-0.06"
"Australia","2005","20394.75","17986.75","2408.01","17987.00","","17987.00","0.00","2408.00","","2408.00","0.00","20395.00","","20395.00","0.00","17986.75","","0.00","0.00","0.00","2408.01","","0.00","0.00","0.00","20395.00","","0.00","0.00","-0.25"
"Australia","2008","21074.38","18704.57","2369.81","18705.00","","18705.00","0.00","2370.00","","2370.00","0.00","21075.00","","21075.00","0.00","18704.57","","0.00","0.00","0.00","2369.81","","0.00","0.00","0.00","21075.00","","0.00","0.00","-0.62"
"Austria","1990","7670.51","5044.51","2626.00","5045.00","5045.00","0.00","0.00","2626.00","2626.00","0.00","0.00","7671.00","7671.00","0.00","0.00","5044.51","","0.00","0.00","0.00","2626.00","","0.00","0.00","0.00","7671.00","","0.00","0.00","-0.49"
